source_concept_id,source_code,source_code_description_mod,source_code_description,source_counts,comments,target_concept_id,target_concept_code,target_concept_name,target_concept_class_id,target_standard_concept,target_invalid_reason,target_domain_id,target_vocabulary_id
45076841,00015302320,Amikacin Sulfate 250 MGML Injectable Solution [Amikin],Amikacin Sulfate 250 MG/ML Injectable Solution [Amikin],,,21034479,OMOP393263,Amikacin 250 MG/ML Prefilled Syringe [Amikin],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45298689,00015355427,10 Ifosfamide 50 MGML Injectable Solution [Ifex] 10 Mesna 100 MGML Injectable Solution [Mesnex] Pack [Ifex Mesnex Kit 10],{10 (Ifosfamide 50 MG/ML Injectable Solution [Ifex]) / 10 (Mesna 100 MG/ML Injectable Solution [Mesnex]) } Pack [Ifex / Mesnex Kit 10],,,40172827,899367,{10 (20 ML Ifosfamide 50 MG/ML Injection) / 10 (Mesna 100 MG/ML Injectable Solution) } Pack,Clinical Pack,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
46347442,00019945200,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46350603,00019945201,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46351161,00019945202,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46347813,00019945203,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46347757,00019945204,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46362824,00019945205,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46362518,00019945206,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46349643,00019945207,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46342167,00019945208,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46359210,00019945209,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46341621,00019945210,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46343335,00019945211,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46342156,00019945212,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46343968,00019945215,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46362786,00019945217,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46363741,00019945220,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46345812,00019945250,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46345860,00019945275,"SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated","SODIUM IODIDE I 131 - sodium iodide i 131 capsule, gelatin coated",,https://www.pharmacompass.com/ndc-0019-9452-00,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45281574,00024120020,Milrinone 1 MGML Injectable Solution [Primacor I.V.],Milrinone 1 MG/ML Injectable Solution [Primacor I.V.],,,36885798,OMOP992855,Milrinone 1 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45230401,00024120301,Milrinone 0.2 MGML Injectable Solution [Primacor],Milrinone 0.2 MG/ML Injectable Solution [Primacor],,,36403592,OMOP3095634,Milrinone 0.2 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45332670,00026856464,Ciprofloxacin 10 MGML Injectable Solution [Cipro I.V.],Ciprofloxacin 10 MG/ML Injectable Solution [Cipro I.V.],,,44058939,OMOP1053570,Ciprofloxacin 10 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44974481,00029321121,Paroxetine 20 Oral Tablet [Paxil],Paroxetine 20 MG Oral Tablet [Paxil],,,19035312,207349,Paroxetine Hydrochloride 20 MG Oral Tablet [Paxil],Branded Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45349770,00029321213,Paroxetine 30 Oral Tablet [Paxil],Paroxetine 30 MG Oral Tablet [Paxil],,,19035313,207350,Paroxetine Hydrochloride 30 MG Oral Tablet [Paxil],Branded Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45059912,00039006105,Furosemide 10 MGML Injectable Solution [Lasix],Furosemide 10 MG/ML Injectable Solution [Lasix],,,43658059,OMOP959960,Furosemide 10 MG/ML Injectable Solution [Lasix],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45195985,00039006125,Furosemide 10 MGML Injectable Solution [Lasix],Furosemide 10 MG/ML Injectable Solution [Lasix],,,43658059,OMOP959960,Furosemide 10 MG/ML Injectable Solution [Lasix],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45161895,00045006951,Levofloxacin 25 MGML Injectable Solution [Levaquin],Levofloxacin 25 MG/ML Injectable Solution [Levaquin],,,44073217,OMOP1067848,Levofloxacin 25 MG/ML Injection [Levaquin],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45281750,00049343526,Fluconazole 2 MGML Injectable Solution [Diflucan],Fluconazole 2 MG/ML Injectable Solution [Diflucan],,,40846188,OMOP2044150,Fluconazole 2 MG/ML Injectable Solution [Diflucan],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45264753,00049343826,Fluconazole 2 MGML Injectable Solution [Diflucan],Fluconazole 2 MG/ML Injectable Solution [Diflucan],,,40846188,OMOP2044150,Fluconazole 2 MG/ML Injectable Solution [Diflucan],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45367058,00071400705,Fosphenytoin sodium 75 MGML Injectable Solution [Cerebyx],Fosphenytoin sodium 75 MG/ML Injectable Solution [Cerebyx],,,35602751,1670199,Fosphenytoin sodium 75 MG/ML Injection [Cerebyx],Branded Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45230767,00071447545,Phenytoin 50 MGML Injectable Solution [Dilantin],Phenytoin 50 MG/ML Injectable Solution [Dilantin],,,44047092,OMOP1041723,Phenytoin 50 MG/ML Injectable Solution [Dilantin],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45316092,00074016201,Chloride Ion 0.035 MEQML Citrate 0.03 MEQML Glucose 25 MGML Potassium 0.02 MEQML Sodium 0.045 MEQML Oral Solution [Rehydralyte],Chloride Ion 0.035 MEQ/ML / Citrate 0.03 MEQ/ML / Glucose 25 MG/ML / Potassium 0.02 MEQ/ML / Sodium 0.045 MEQ/ML Oral Solution [Rehydralyte],,,44125531,OMOP1120162,Glucose 25 MG/ML / potassium citrate 2.04 MG/ML / Sodium Chloride 4 MG/ML / sodium citrate 0.78 MG/ML Oral Solution [Rehydralyte],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44957816,00074368001,1.5 ML Leuprolide 20 MGML Prefilled Syringe [Lupron],1.5 ML Leuprolide 20 MG/ML Prefilled Syringe [Lupron],,,42902462,1359575,Leuprolide Acetate 20 MG/ML Prefilled Syringe,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44974839,00074377204,Ethanol 0.98 MLML Injectable Solution,Ethanol 0.98 ML/ML Injectable Solution,,,1594090,1869280,Ethanol 0.98 ML/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45111291,00074433201,Vancomycin 50 MGML Injectable Solution,Vancomycin 50 MG/ML Injectable Solution,,,1707772,313572,Vancomycin 50 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45282022,00074553401,Sodium Bicarbonate 0.5 MEQML Injectable Solution,Sodium Bicarbonate 0.5 MEQ/ML Injectable Solution,,,42621046,OMOP2801156,Sodium Bicarbonate 42 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45333072,00074647008,Chloride Ion 0.035 MEQML Citrate 0.03 MEQML Glucose 25 MGML Potassium 0.02 MEQML Sodium 0.045 MEQML Oral Solution [Pedialyte],Chloride Ion 0.035 MEQ/ML / Citrate 0.03 MEQ/ML / Glucose 25 MG/ML / Potassium 0.02 MEQ/ML / Sodium 0.045 MEQ/ML Oral Solution [Pedialyte],,,44123488,OMOP1118119,Glucose 25 MG/ML / potassium citrate 2.04 MG/ML / Sodium Chloride 4 MG/ML / sodium citrate 0.78 MG/ML Oral Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45128083,00074662502,Sodium Bicarbonate 0.893 MEQML Injectable Solution,Sodium Bicarbonate 0.893 MEQ/ML Injectable Solution,,,939799,792571,Sodium Bicarbonate 0.893 MEQ/ML,Clinical Drug Comp,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44838617,00074665702,Sodium Chloride 2.5 MEQML Injectable Solution,Sodium Chloride 2.5 MEQ/ML Injectable Solution,,,40221375,1807579,Sodium Chloride 146 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44907243,00074734930,Potassium Chloride 0.167 MEQML Oral Solution [K-Lor],Potassium Chloride 0.167 MEQ/ML Oral Solution [K-Lor],,,35606565,1743878,Dopamine Hydrochloride 1.6 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45367150,00074780922,Dopamine Hydrochloride 1.6 MGML Injectable Solution,Dopamine Hydrochloride 1.6 MG/ML Injectable Solution,,,35606565,1743878,Dopamine Hydrochloride 1.6 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45026175,00078005304,Methylergonovine Maleate 0.2 MGML Injectable Solution [Methergine],Methylergonovine Maleate 0.2 MG/ML Injectable Solution [Methergine],,,35605516,1740923,Methylergonovine Maleate 0.2 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45077398,00081059871,Azathioprine 10 MGML Injectable Solution [Imuran],Azathioprine 10 MG/ML Injectable Solution [Imuran],,,21159952,OMOP352029,Azathioprine 10 MG/ML,Clinical Drug Comp,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44941691,00173048500,remifentanil 1 MGML Injectable Solution [Ultiva],remifentanil 1 MG/ML Injectable Solution [Ultiva],,,40725100,OMOP4732179,remifentanil Injectable Solution [Ultiva],Branded Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45078002,00182142095,Aspirin 81 Chewable Tablet [Aspirin Child Chewable],Aspirin 81 MG Chewable Tablet [Aspirin Child Chewable],,,1113346,318272,Aspirin 81 MG Chewable Tablet,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45299964,00186091542,200 ACTUAT Budesonide 0.16 MGACTUAT Dry Powder Inhaler [Pulmicort],200 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler [Pulmicort],,0.16 to 0.18,44218038,OMOP3094761,200 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort],Quant Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45369084,00472100016,Potassium Chloride 0.167 MEQML Oral Solution,Potassium Chloride 0.167 MEQ/ML Oral Solution,, 0.167 MEQ/ML,40076079,373522,Potassium Chloride Oral Solution,Clinical Drug Form,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44841317,00703485291,fludarabine 25 MGML Injectable Solution [Fludarabine Phosphate Novaplus],fludarabine 25 MG/ML Injectable Solution [Fludarabine Phosphate Novaplus],,,36893774,OMOP1005902,fludarabine 25 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
44943959,00777144101,Erythromycin Gluceptate 50 MGML Injectable Solution [Ilotycin Gluceptate],Erythromycin Gluceptate 50 MG/ML Injectable Solution [Ilotycin Gluceptate],,,19096077,346650,Erythromycin 500 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45048185,10592000101,PONARIS NASAL EMOLLIENT,PONARIS NASAL EMOLLIENT,,,43815215,OMOP946467,Eucalyptus oil / Peppermint preparation / pine needle oil (pinus mugo) Topical Ointment,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
42845560,24535083101,hydroxyurea 500mg1 ORAL CAPSULE,hydroxyurea 500mg/1 ORAL CAPSULE,,,1377163,197797,hydroxyurea 500 MG Oral Capsule,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45016340,38423011001,Dexrazoxane 10 MGML Injectable Solution [Totect],Dexrazoxane 10 MG/ML Injectable Solution [Totect],,missing 10 MG/ML,793736,1939306,Dexrazoxane Injection [Totect],Branded Drug Form,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44864326,49452285003,ETHYL ALCOHOL 200 PROOF,ETHYL ALCOHOL 200 PROOF,,,44079290,OMOP1073921,Ethanol 200 MG/ML,Clinical Drug Comp,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45103200,51079050230,Cascara sagrada 1000 MGML Oral Solution,Cascara sagrada 1000 MG/ML Oral Solution,,,44125825,OMOP1120456,Cascara sagrada 1000 MG/ML Oral Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46343971,51808011901,I 131 MINI - i 131 mini capsule,I 131 MINI - i 131 mini capsule,,,42972173,OMOP4698583,Sodium iodide I131 Oral Capsule,Clinical Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
46343428,51808012701,"P32 SODIUM PHOSPHATE - p32 sodium phosphate injection, suspension","P32 SODIUM PHOSPHATE - p32 sodium phosphate injection, suspension",,,42904294,258478,phosphorus 32,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
46355548,51808012801,P32 SODIUM PHOSPHATE - p32 sodium phosphate solution,P32 SODIUM PHOSPHATE - p32 sodium phosphate solution,,,42904294,258478,phosphorus 32,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44984812,52769027082,"Immunoglobulins, Intravenous 120 MGML Injectable Solution [Panglobulin]","Immunoglobulins, Intravenous 120 MG/ML Injectable Solution [Panglobulin]",,40960396,40960396,OMOP2158358,Immunoglobulin G 120 MG/ML Injectable Solution,Clinical Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
36490318,53225365001,"READYSHARP METHYLPREDNISOLONE 80 - methylprednisolone acetate injection, suspension","READYSHARP METHYLPREDNISOLONE 80 - methylprednisolone acetate injection, suspension",,,42902114,1358617,methylprednisolone acetate 80 MG/ML Injectable Suspension,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45206707,53270010101,Levoleucovorin calcium 10 MGML Injectable Solution [Fusilev],Levoleucovorin calcium 10 MG/ML Injectable Solution [Fusilev],,,35606667,1720774,25 ML levoleucovorin 10 MG/ML Injection [Fusilev],Quant Branded Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45378850,55390028110,Daunorubicin 5 MGML Injectable Solution [Cerubidine],Daunorubicin 5 MG/ML Injectable Solution [Cerubidine],,,36258030,OMOP3108905,Daunorubicin 5 MG/ML Injection [Cerubidine],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45208132,55390056610,Diltiazem Hydrochloride 5 MGML Injectable Solution,Diltiazem Hydrochloride 5 MG/ML Injectable Solution,,,42629596,1791230,Diltiazem Hydrochloride 5 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
42848674,55648018601,zoledronic acid 4mg5mL INTRAVENOUS INJECTION,zoledronic acid 4mg/5mL INTRAVENOUS INJECTION,,,1524675,351114,5 ML zoledronic acid 0.8 MG/ML Injection,Quant Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44903039,58178001703,Amifostine 50 MGML Injectable Solution [Ethyol],Amifostine 50 MG/ML Injectable Solution [Ethyol],,,40912677,OMOP2110639,Amifostine 50 MG/ML Injection [Ethyol],Branded Drug,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
45124056,58468003002,2 thyrotropin alfa 1.1 Injection [Thyrogen] Pack [Thyrogen Kit],{2 (thyrotropin alfa 1.1 MG Injection [Thyrogen]) } Pack [Thyrogen Kit],,,790201,2166579,{2 (thyrotropin alfa 1.1 MG Injection [Thyrogen]) } Pack [Thyrogen Kit],Branded Pack,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45192267,58468017001,Fludarabine phosphate 25 MGML Injectable Solution [Fludara],Fludarabine phosphate 25 MG/ML Injectable Solution [Fludara],,,35605491,1740866,Fludarabine phosphate 25 MG/ML Injection,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
44868837,58914001006,ADEKS TABLET CHEW,ADEKS TABLET CHEW,,,44083450,OMOP1078081,alpha Tocopherol / Ascorbic Acid / Beta Carotene / Biotin / Niacinamide / Panthenol / pyridoxine / Riboflavin / Thiamine / Vitamin A / Vitamin B 12 / Vitamin D / Vitamin K 1 / Zinc Sulfate Oral Solution [Adeks],Branded Drug Form,Standard,Valid,Drug,RxNorm Extension
,,,,,,,,,,,,,
36486873,63629666001,PREDNISONE - prednisone tablet,PREDNISONE - prednisone tablet,,,40073531,373585,Prednisone Oral Tablet,Clinical Drug Form,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
46346214,65174088000,HICON - sodium iodide i 131 solution,HICON - sodium iodide i 131 solution,,,45775553,1546415,iodide ion I-131,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
46359698,65174088025,HICON - sodium iodide i 131 solution,HICON - sodium iodide i 131 solution,,,45775553,1546415,iodide ion I-131,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
46333236,65174088050,HICON - sodium iodide i 131 solution,HICON - sodium iodide i 131 solution,,,45775553,1546415,iodide ion I-131,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
42845894,65841074406,"letrozole 2.5mg1 ORAL TABLET, FILM COATED","letrozole 2.5mg/1 ORAL TABLET, FILM COATED",,,19022830,200064,letrozole 2.5 MG Oral Tablet,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
42845895,65841074410,"letrozole 2.5mg1 ORAL TABLET, FILM COATED","letrozole 2.5mg/1 ORAL TABLET, FILM COATED",,,19022830,200064,letrozole 2.5 MG Oral Tablet,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
42845896,65841074430,"letrozole 2.5mg1 ORAL TABLET, FILM COATED","letrozole 2.5mg/1 ORAL TABLET, FILM COATED",,,19022830,200064,letrozole 2.5 MG Oral Tablet,Clinical Drug,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45383010,68152010303,ZEVALIN Y-90 VIAL,ZEVALIN Y-90 VIAL,,,19068830,262323,ibritumomab tiuxetan,Ingredient,Standard,Valid,Drug,RxNorm
45383010,68152010303,ZEVALIN Y-90 VIAL,ZEVALIN Y-90 VIAL,,,44816338,1534770,Yttrium,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
45007579,68152010404,ZEVALIN IN-111 VIAL,ZEVALIN IN-111 VIAL,,,19068830,262323,ibritumomab tiuxetan,Ingredient,Standard,Valid,Drug,RxNorm
45007579,68152010404,ZEVALIN IN-111 VIAL,ZEVALIN IN-111 VIAL,,,19135847,90540,Indium-111,Ingredient,Standard,Valid,Drug,RxNorm
,,,,,,,,,,,,,
